               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.019925,            0.013911,           0.0036264,             0.97583,             0.98632,              0.9877,             0.84699,              0.0114,           0.0061225,            0.002777,             0.00307,             0.00307,             0.00307
                  37,            0.019929,            0.013621,           0.0038986,             0.98164,             0.98297,              0.9872,             0.88882,            0.011282,           0.0061612,           0.0025387,            0.002872,            0.002872,            0.002872
                  38,            0.019839,            0.014319,            0.003649,              0.9807,             0.99042,             0.98598,             0.89729,            0.010751,           0.0062974,           0.0023399,            0.002674,            0.002674,            0.002674
                  39,            0.018799,            0.013926,           0.0035767,             0.98178,             0.99052,             0.98739,             0.89143,            0.010486,           0.0061828,           0.0023143,            0.002476,            0.002476,            0.002476
                  40,            0.017498,            0.014119,           0.0036105,             0.98237,             0.99134,             0.98815,             0.90005,            0.009206,            0.005929,           0.0023218,            0.002278,            0.002278,            0.002278
                  41,            0.018069,            0.014348,           0.0040492,             0.98274,             0.98871,             0.98993,              0.9116,           0.0085165,           0.0057693,           0.0022415,             0.00208,             0.00208,             0.00208
                  42,            0.016227,            0.014533,           0.0031591,             0.98269,              0.9897,             0.98988,             0.91605,            0.008831,           0.0058166,           0.0021411,            0.001882,            0.001882,            0.001882
                  43,             0.01595,            0.013261,           0.0031122,             0.98241,             0.99141,             0.98939,             0.92633,           0.0077827,           0.0056124,           0.0020782,            0.001684,            0.001684,            0.001684
                  44,            0.015837,            0.013404,           0.0031906,             0.98264,             0.99159,             0.98913,             0.93365,           0.0085104,           0.0056371,           0.0019728,            0.001486,            0.001486,            0.001486
                  45,            0.016672,            0.013296,           0.0025421,             0.98579,             0.99164,             0.98963,             0.94264,           0.0076311,           0.0054075,           0.0018093,            0.001288,            0.001288,            0.001288
                  46,            0.014308,            0.012756,           0.0028279,             0.98288,             0.99174,             0.98942,             0.93745,           0.0074948,           0.0054234,           0.0017717,             0.00109,             0.00109,             0.00109
                  47,            0.015375,            0.012979,           0.0031924,             0.98311,             0.99176,             0.98961,             0.94605,           0.0075755,            0.005367,           0.0017754,            0.000892,            0.000892,            0.000892
                  48,            0.015865,            0.013282,            0.003007,             0.98307,             0.99192,              0.9908,             0.94722,           0.0075996,           0.0053524,           0.0017348,            0.000694,            0.000694,            0.000694
                  49,            0.015463,            0.012044,           0.0026007,             0.98291,             0.99236,             0.99106,              0.9445,           0.0073835,           0.0053061,           0.0017231,            0.000496,            0.000496,            0.000496
