#{"t_start": 1744175098.8747785, "env_id": "None"}
r,l,t
-157.843231,50,863.978953
-154.78272,50,867.541525
-166.296949,50,871.091504
-128.964177,50,874.613338
-140.204252,50,878.138778
-130.831308,50,881.678235
-146.793112,50,885.238552
-149.263077,50,888.786046
-146.13645,50,892.298229
-134.443646,50,895.86536
-147.044316,50,899.410128
-139.48426,50,902.978466
-132.70862,50,906.52405
-154.941193,50,910.081223
-155.70376,50,913.619608
-148.337027,50,917.136027
-168.45567,50,920.681547
-151.626342,50,924.215068
-156.108767,50,927.768002
-168.249691,50,931.30426
-162.272108,50,934.807822
-144.943946,50,938.325558
-148.046869,50,941.87386
-137.704233,50,945.417779
-132.622222,50,948.964042
-143.625859,50,952.51185
-144.298141,50,956.06497
-145.68228,50,959.609848
-144.358983,50,963.130049
-145.854447,50,966.662854
-130.265033,50,970.234485
-120.300198,50,973.806271
-158.511802,50,977.366213
-144.395609,50,980.937621
-157.155366,50,984.503616
-227.787644,50,988.038508
-139.480223,50,991.602898
-146.082956,50,995.172261
-155.371992,50,998.727009
-653.73262,50,1002.276981
-269.834478,50,1005.790144
-143.040618,50,1009.306281
-159.22034,50,1012.838054
-153.016772,50,1016.377496
-147.723964,50,1019.926142
-151.62866,50,1023.483982
-131.159692,50,1027.040683
-151.36461,50,1030.575915
-213.209285,50,1034.131923
-133.857632,50,1037.695588
-158.160711,50,1041.217623
-147.998656,50,1044.732701
-143.978749,50,1048.277073
-161.732472,50,1051.795433
-152.888201,50,1055.351553
-163.262684,50,1058.904495
-158.398828,50,1062.466193
-156.405546,50,1066.008928
-151.276662,50,1069.57086
-156.916275,50,1073.12857
-154.066429,50,1076.689749
-150.495732,50,1080.254202
-118.125525,50,1083.812713
-122.442723,50,1087.379346
-116.753255,50,1090.946571
-135.653595,50,1094.459374
-119.634014,50,1097.9803
-132.800732,50,1101.511308
-126.231284,50,1105.042436
-137.988228,50,1108.546782
-130.010513,50,1112.111964
-140.265313,50,1115.64663
-130.045731,50,1119.15548
-118.630299,50,1122.693588
-121.302246,50,1126.234587
-127.091692,50,1129.767057
-124.822647,50,1133.288886
-142.675242,50,1136.82934
-200.967218,50,1140.364254
-123.749178,50,1143.885278
-161.012088,50,1147.397523
-139.880487,50,1150.936822
-141.665014,50,1154.485087
-145.199545,50,1157.996954
-141.395551,50,1161.504169
-147.887818,50,1165.039564
-144.517987,50,1168.548951
-225.973006,50,1172.060571
-158.447383,50,1175.591693
-148.191293,50,1179.134221
-133.300166,50,1182.650939
-145.190011,50,1186.159867
-148.497571,50,1189.662694
-171.810719,50,1193.177877
-148.504321,50,1196.694209
-144.722558,50,1200.252113
-150.420667,50,1203.819214
-348.083014,50,1207.342865
-128.444165,50,1210.860442
-141.510359,50,1214.365394
-142.36233,50,1217.881793
-150.963983,50,1221.392294
-140.020363,50,1224.896609
-209.523762,50,1228.445772
-135.789968,50,1232.000499
-148.797108,50,1235.516663
-225.26294,50,1239.076049
-127.956869,50,1242.611074
-150.581366,50,1246.148202
-154.857569,50,1249.697119
-154.555522,50,1253.225457
-135.890559,50,1256.787525
-126.337556,50,1260.344845
-138.098656,50,1263.872904
-262.252829,50,1267.378268
-153.237124,50,1270.921476
-150.663064,50,1274.479312
-164.582812,50,1278.033673
-134.153596,50,1281.56387
-127.519121,50,1285.119734
-128.595616,50,1288.68184
-206.417724,50,1292.244181
-148.027599,50,1295.79909
-138.757225,50,1299.362934
-135.899377,50,1302.916921
-141.848632,50,1306.473765
-125.862959,50,1310.030983
-148.239381,50,1313.556426
-144.107874,50,1317.065339
-126.908067,50,1320.593818
-131.036988,50,1324.11889
-130.351869,50,1327.671818
-104.341679,50,1331.183634
-124.076652,50,1334.716618
-142.945267,50,1338.251547
-328.537077,50,1341.811352
-116.982633,50,1345.366903
-123.505227,50,1348.910454
-134.660248,50,1352.465432
-120.230302,50,1355.972422
-134.523038,50,1359.518066
-122.114832,50,1363.040146
-130.402267,50,1366.558715
-123.637204,50,1370.0774
-135.515062,50,1373.595863
-125.77444,50,1377.115158
-135.420339,50,1380.620606
-132.261475,50,1384.140058
-124.726737,50,1387.669938
-128.887048,50,1391.176542
-108.110812,50,1394.697709
-112.101115,50,1398.248498
-101.308561,50,1401.806623
-123.581598,50,1405.358062
-110.776564,50,1408.905064
-107.894288,50,1412.41881
-139.263546,50,1415.963336
-114.312542,50,1419.9717
-108.16253,50,1423.520916
-93.726525,50,1427.028673
-114.314542,50,1430.564306
-138.339431,50,1434.115884
-111.934252,50,1437.677028
-103.821133,50,1441.196028
-97.6843,50,1444.709807
-101.387363,50,1448.224896
-115.937319,50,1451.7616
-116.876956,50,1455.297331
-111.282005,50,1458.823621
-101.591765,50,1462.379584
-2384.81949,50,1465.926171
-118.222545,50,1469.48822
-116.808022,50,1473.048859
-85.463044,50,1476.618729
-103.947697,50,1480.191894
-94.660371,50,1483.764589
-168.720221,50,1487.328799
-1005.386702,50,1490.881485
-884.869236,50,1494.429435
-102.842084,50,1497.988751
-107.672968,50,1501.559733
-113.217119,50,1505.126607
-112.421301,50,1508.690774
-108.09574,50,1512.238362
-120.083404,50,1515.784151
-122.163061,50,1519.345165
-132.046416,50,1522.910065
-135.410483,50,1526.459892
-125.830617,50,1530.000373
-121.979508,50,1533.557749
-142.241679,50,1537.089947
-124.98899,50,1540.63856
-171.193037,50,1544.206771
-140.671672,50,1547.714124
-137.216546,50,1551.231008
-141.404473,50,1554.736391
-124.00451,50,1558.24806
-142.949263,50,1561.815395
-123.856414,50,1565.341848
-138.193085,50,1568.891943
-123.740904,50,1572.403996
-154.240981,50,1575.917692
-112.382655,50,1579.436323
-126.725014,50,1582.948998
-119.948716,50,1586.495363
-113.303215,50,1590.070314
-114.310984,50,1593.632113
-108.756099,50,1597.197913
-100.145726,50,1600.76391
-102.585677,50,1604.327334
-198.170666,50,1607.895412
-110.796229,50,1611.463156
-108.500775,50,1615.028993
-81.933023,50,1618.593299
-93.588862,50,1622.153598
-103.545349,50,1625.709951
-114.932679,50,1629.266708
-120.595745,50,1632.831356
-90.232513,50,1636.372607
-96.080535,50,1639.885027
-92.317994,50,1643.38873
-105.334617,50,1646.914071
-116.801407,50,1650.420429
-159.939776,50,1653.925738
-95.408096,50,1657.473298
-105.176547,50,1661.023232
-117.448922,50,1664.548733
-118.661805,50,1668.065746
-124.020597,50,1671.590405
-115.287606,50,1675.150511
-103.658348,50,1678.68854
-112.977971,50,1682.232843
-122.331548,50,1685.797771
-137.368431,50,1689.357211
-110.729652,50,1692.915651
-119.898729,50,1696.478621
-96.952595,50,1700.038271
-125.445915,50,1703.594334
-132.901973,50,1707.101279
-112.836605,50,1710.643228
-133.195309,50,1714.203397
-124.522789,50,1717.7683
-122.424881,50,1721.325565
-124.853294,50,1724.879042
-131.431032,50,1728.438826
-130.394781,50,1731.996932
-138.492687,50,1735.55553
-116.553509,50,1739.127246
-113.805924,50,1742.69741
-175.566517,50,1746.259213
-133.513581,50,1749.81901
-136.999801,50,1753.381666
-123.446556,50,1756.947358
-127.786653,50,1760.508298
-205.889476,50,1764.074541
-149.65043,50,1767.6292
-140.868873,50,1771.184738
-140.72132,50,1774.744476
-135.733875,50,1778.279177
-147.392023,50,1781.801747
-238.363546,50,1785.318379
-133.577052,50,1788.832052
-133.578103,50,1792.383535
-139.878237,50,1795.901573
-162.060153,50,1799.457541
-130.708717,50,1803.009243
-139.886894,50,1806.526262
-144.170124,50,1810.051834
-153.919786,50,1813.591616
-156.251089,50,1817.099616
-227.669516,50,1820.601724
-149.092729,50,1824.10206
-168.424207,50,1827.613651
-155.727998,50,1831.150648
-155.445273,50,1834.65854
-143.534612,50,1838.202899
-160.187001,50,1841.766708
-143.015968,50,1845.330149
-207.961664,50,1848.886461
-168.285286,50,1852.44254
-154.90785,50,1855.991045
-163.160148,50,1859.535636
-144.533423,50,1863.065258
-144.704138,50,1866.612459
-124.426356,50,1870.155347
-105.197539,50,1873.714698
-99.838273,50,1877.238488
-107.947459,50,1880.76887
-104.588653,50,1884.285194
-114.164547,50,1887.833185
-173.012911,50,1891.388493
-129.436925,50,1894.935552
-108.32943,50,1898.49139
-92.884177,50,1902.017143
-198.732367,50,1905.547795
-91.530612,50,1909.104037
-114.381665,50,1912.658764
-108.210959,50,1916.439208
-93.075476,50,1919.999837
-81.461485,50,1923.52635
-123.63142,50,1927.031178
-110.418147,50,1930.540864
-140.370033,50,1934.07068
-465.237707,50,1937.57081
-126.542472,50,1941.124755
-110.662824,50,1944.671658
-101.015547,50,1948.224512
-153.126792,50,1951.776073
-108.745135,50,1955.313123
-93.597246,50,1958.877136
-94.143373,50,1962.435763
-93.716119,50,1966.01082
-123.564985,50,1969.565469
-133.547415,50,1973.094448
-132.436691,50,1976.629893
-117.309255,50,1980.151122
-132.844348,50,1983.669804
-125.039045,50,1987.226411
-134.7258,50,1990.750064
